raceId,grand_prix,fecha,posicion_final,puntos_obtenidos,estado_carrera
1,Bahrain GP,2025-03-02,12,0,Finished
2,Saudi Arabia GP,09/03/2025,10,1,Finished
3,Australia GP,2025-03-16,14,0,DNF
4,Japan GP,2025-04-06,9,2,Finished
5,China GP,2025-04-20,11,0,Finished
6,Miami GP,2025-05-04,8,4,Finished
7,Imola GP,2025-05-18,13,0,Did Not Finish
8,Monaco GP,2025-05-25,7,6,Finished
9,Canada GP,2025-06-08,10,1,Finished
10,Spain GP,2025-06-22,9,2,Finished
11,Austria GP,2025-06-29,12,0,Finished
12,UK GP,2025-07-06,11,0,Finished
13,Hungary GP,2025-07-20,8,4,Finished
14,Belgium GP,2025-07-27,13,0,DNF
15,Italy GP,2025-09-07,6,8,Finished
8,Monaco GP,2025-05-25,7,6,Finished
9,Canada GP,2025-06-08,10,1,Finished
