id;zona;costo_final
PKG335;NORTE;1379400.0
PKG2768;NORTE;1379400.0
PKG3221;SUR;1379400.0
PKG3598;OESTE;1379400.0
PKG4047;SUR;1379400.0
PKG6388;ESTE;1379400.0
PKG7153;NORTE;1379400.0
PKG8985;ESTE;1379400.0
PKG9867;CENTRO;1379400.0
PKG10042;SUR;1379400.0
PKG10449;NORTE;1379400.0
PKG11910;ESTE;1379400.0
PKG13643;NORTE;1379400.0
PKG14563;NORTE;1379400.0
PKG17003;SUR;1379400.0
PKG18375;SUR;1379400.0
PKG18414;NORTE;1379400.0
PKG20349;NORTE;1379400.0
PKG20562;SUR;1379400.0
PKG21606;ESTE;1379400.0
PKG22644;NORTE;1379400.0
PKG24824;ESTE;1379400.0
PKG26009;NORTE;1379400.0
PKG26403;NORTE;1379400.0
PKG26536;SUR;1379400.0
PKG26985;NORTE;1379400.0
PKG31138;SUR;1379400.0
PKG31862;ESTE;1379400.0
PKG38503;OESTE;1379400.0
PKG39885;SUR;1379400.0
PKG45910;NORTE;1379400.0
PKG46607;CENTRO;1379400.0
PKG49652;NORTE;1379400.0
PKG53240;NORTE;1379400.0
PKG53312;OESTE;1379400.0
PKG55715;ESTE;1379400.0
PKG56838;SUR;1379400.0
PKG57151;OESTE;1379400.0
PKG59127;OESTE;1379400.0
PKG59826;SUR;1379400.0
PKG64059;SUR;1379400.0
PKG65154;CENTRO;1379400.0
PKG68136;SUR;1379400.0
PKG68289;ESTE;1379400.0
PKG71653;NORTE;1379400.0
PKG72739;SUR;1379400.0
PKG73582;NORTE;1379400.0
PKG75445;CENTRO;1379400.0
PKG76505;NORTE;1379400.0
PKG77516;CENTRO;1379400.0
PKG78473;OESTE;1379400.0
PKG79819;NORTE;1379400.0
PKG79930;NORTE;1379400.0
PKG80487;SUR;1379400.0
PKG82510;ESTE;1379400.0
PKG83367;SUR;1379400.0
PKG83931;SUR;1379400.0
PKG84481;OESTE;1379400.0
PKG85461;ESTE;1379400.0
PKG87308;SUR;1379400.0
PKG90377;CENTRO;1379400.0
PKG90707;ESTE;1379400.0
PKG90791;SUR;1379400.0
PKG91061;CENTRO;1379400.0
PKG92291;NORTE;1379400.0
PKG93763;NORTE;1379400.0
PKG94179;OESTE;1379400.0
PKG95118;ESTE;1379400.0
PKG96485;OESTE;1379400.0
PKG98862;NORTE;1379400.0
PKG99198;NORTE;1379400.0
PKG100108;SUR;1379400.0
PKG100897;SUR;1379400.0
PKG101967;SUR;1379400.0
PKG101972;NORTE;1379400.0
PKG102561;ESTE;1379400.0
PKG103683;NORTE;1379400.0
PKG104502;NORTE;1379400.0
PKG105115;SUR;1379400.0
PKG107033;NORTE;1379400.0
PKG108022;OESTE;1379400.0
PKG108199;NORTE;1379400.0
PKG108377;SUR;1379400.0
PKG110333;CENTRO;1379400.0
PKG113650;NORTE;1379400.0
PKG116346;CENTRO;1379400.0
PKG116726;ESTE;1379400.0
PKG118039;NORTE;1379400.0
PKG119975;NORTE;1379400.0
PKG120037;NORTE;1379400.0
PKG122505;SUR;1379400.0
PKG124556;ESTE;1379400.0
PKG124770;ESTE;1379400.0
PKG125547;CENTRO;1379400.0
PKG125732;NORTE;1379400.0
PKG127733;SUR;1379400.0
PKG129222;CENTRO;1379400.0
PKG130603;OESTE;1379400.0
PKG131733;ESTE;1379400.0
PKG132155;CENTRO;1379400.0
PKG133750;CENTRO;1379400.0
PKG134347;SUR;1379400.0
PKG134514;SUR;1379400.0
PKG134886;SUR;1379400.0
PKG137774;CENTRO;1379400.0
PKG138171;CENTRO;1379400.0
PKG141823;SUR;1379400.0
PKG143983;SUR;1379400.0
PKG144926;SUR;1379400.0
PKG147131;CENTRO;1379400.0
PKG147711;ESTE;1379400.0
PKG148125;NORTE;1379400.0
PKG148403;SUR;1379400.0
PKG149485;NORTE;1379400.0
PKG150109;CENTRO;1379400.0
PKG151015;ESTE;1379400.0
PKG152129;NORTE;1379400.0
PKG152165;NORTE;1379400.0
PKG153153;ESTE;1379400.0
PKG153241;NORTE;1379400.0
PKG153614;NORTE;1379400.0
PKG154123;SUR;1379400.0
PKG157474;CENTRO;1379400.0
PKG158679;SUR;1379400.0
PKG159028;ESTE;1379400.0
PKG159528;NORTE;1379400.0
PKG161381;CENTRO;1379400.0
PKG162467;NORTE;1379400.0
PKG162646;CENTRO;1379400.0
PKG165665;ESTE;1379400.0
PKG165710;ESTE;1379400.0
PKG167967;SUR;1379400.0
PKG169003;OESTE;1379400.0
PKG169134;OESTE;1379400.0
PKG171630;SUR;1379400.0
PKG172140;SUR;1379400.0
PKG174051;CENTRO;1379400.0
PKG175247;OESTE;1379400.0
PKG175585;SUR;1379400.0
PKG176150;ESTE;1379400.0
PKG177709;SUR;1379400.0
PKG180901;ESTE;1379400.0
PKG184460;NORTE;1379400.0
PKG185444;OESTE;1379400.0
PKG185865;NORTE;1379400.0
PKG186854;CENTRO;1379400.0
PKG188270;ESTE;1379400.0
PKG188310;OESTE;1379400.0
PKG190995;SUR;1379400.0
PKG191177;CENTRO;1379400.0
PKG191801;NORTE;1379400.0
PKG191857;NORTE;1379400.0
PKG195829;NORTE;1379400.0
PKG196454;NORTE;1379400.0
PKG197854;CENTRO;1379400.0
PKG198897;SUR;1379400.0
PKG203358;NORTE;1379400.0
PKG204064;OESTE;1379400.0
PKG206062;SUR;1379400.0
PKG207952;ESTE;1379400.0
PKG208269;NORTE;1379400.0
PKG214519;NORTE;1379400.0
PKG216281;NORTE;1379400.0
PKG216462;OESTE;1379400.0
PKG218591;NORTE;1379400.0
PKG219078;SUR;1379400.0
PKG220597;SUR;1379400.0
PKG221771;CENTRO;1379400.0
PKG223859;OESTE;1379400.0
PKG228091;NORTE;1379400.0
